url,code,name,total_language_data_available,total_students,JK_GR3,GR4_GR6,GR7_GR8,female,male,primary_not_english,living_in_canada_less_than_2_years,living_in_canada_for_3_5_years
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=6155,6155,Keelesdale Junior Public School,141,141,98,43,,71,70,73,7,10
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4727,4727,Kennedy Public School,639,639,291,210,138,311,328,596,31,46
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5347,5347,Kensington Community School,141,141,73,68,,64,77,70,5,6
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5244,5244,Kew Beach Junior Public School,432,432,263,169,,199,233,66,7,14
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5245,5245,Kimberley Junior Public School,297,297,216,81,,155,142,64,3,4
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5247,5247,King Edward Junior and Senior Public School,493,494,82,53,359,241,249,179,15,12
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=6158,6158,King George Junior Public School,260,260,181,79,,124,136,41,6,8
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3184,3184,Kingslake Public School,244,244,176,,,110,134,193,55,48
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2040,2040,Kingsview Village Junior School,511,511,372,,,245,266,333,71,39
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4612,4612,Knob Hill Public School,506,506,270,149,87,250,256,345,32,48
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3187,3187,Lamberton Public School,328,328,252,,,157,171,189,40,38
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=6161,6161,Lambton Park Community School,136,136,80,,,63,73,61,6,15
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2019,2019,Lambton-Kingsway Junior Middle School,646,646,320,203,123,341,303,163,20,18
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2003,2003,Lanor Junior Middle School,397,397,134,157,106,167,230,149,14,23
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3190,3190,Lawrence Heights Middle School,150,150,,,,71,78,56,1,8
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3189,3189,Ledbury Park Elementary and Middle School,450,450,237,122,91,204,246,108,9,17
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3185,3185,Lescon Public School,251,253,179,,,134,119,162,27,29
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5250,5250,Leslieville Junior Public School,304,304,172,132,,140,160,98,1,10
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3082,3082,Lester B Pearson Elementary School,369,369,,115,76,199,170,254,3,7
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3186,3186,Lillian Public School,252,252,184,,,124,128,213,36,53
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5219,5219,Lord Dufferin Junior and Senior Public School,365,365,183,90,92,153,212,229,29,27
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5248,5248,Lord Lansdowne Junior Public School,255,255,,77,,144,111,92,3,14
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4624,4624,Lord Roberts Junior Public School,415,415,259,156,,206,209,323,23,61
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4637,4637,Lucy Maud Montgomery Public School,188,188,90,45,53,78,110,103,3,16
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5310,5310,Lucy McCormick Senior School,69,69,,,,24,45,32,0,1
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4630,4630,Lynngate Junior Public School,153,156,86,70,,68,88,103,4,8
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4636,4636,Lynnwood Heights Junior Public School,142,143,89,54,,55,88,111,5,17
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4650,4650,Macklin Public School,435,435,235,109,91,213,222,373,19,35
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4640,4640,Malvern Junior Public School,337,337,175,162,,163,174,255,8,30
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4642,4642,Manhattan Park Junior Public School,96,96,68,28,,39,57,55,6,4
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3194,3194,Maple Leaf Public School,246,246,136,74,36,115,130,124,10,9
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5316,5316,Market Lane Junior and Senior Public School,342,342,174,79,89,162,178,161,26,29
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4647,4647,Mary Shadd Public School,424,424,190,121,113,203,221,340,9,30
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4648,4648,Maryvale Public School,251,251,105,65,81,115,136,138,14,12
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4654,4654,Mason Road Junior Public School,341,341,219,122,,172,169,193,8,28
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5301,5301,Maurice Cody Junior Public School,619,621,,,,308,312,150,8,32
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=3198,3198,McKee Public School,661,661,492,,,302,359,555,94,102
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=5253,5253,McMurrich Junior Public School,540,540,291,249,,251,288,122,9,16
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=4660,4660,Meadowvale Public School,290,290,124,102,64,135,155,169,8,24
https://www.tdsb.on.ca/FindYour/Schools.aspx?schno=2082,2082,Melody Village Junior School,197,197,,,,110,87,96,1,3
